name_track,artist_name_raw,artist_name_norm,name_album,type,year,duration_ms,popularity,id_genre
Ocean Breeze - Original Mix,Clelia Felix,clelia felix,Beautiful Morning Lounge (Chillout Your Mind),track,2020,178000,0,3
Forgotten Places,Velvet Dreamer,velvet dreamer,"Waving Clouds (Beautiful Tunes), Vol. 4",track,2020,336879,0,3
Back Again,Zedman,zedman,Back Again,track,2020,164640,0,3
Es Cavalett,Eivissarts,eivissarts,Deep Voyage Lounge: Chillout Your Mind,track,2020,345165,0,3
From a Friend - Original Mix,Five Seasons,five seasons,"Sensual Spa Lounge, Vol. 14",track,2020,250000,0,3
Vinile - Urejena Različica,Gold Lounge,gold lounge,"The Sound Chill Experience, Vol. 1 (Use Headphones 8D Audio)",track,2020,148390,0,3
Ibiza Winter Café,DJ Lounge Del Mar,dj lounge del mar,Xmas Beach Chill (Smooth Lounge Tunes For Christmas Winter Time),track,2020,273880,0,3
La jolie - Original Mix,Weathertunes,weathertunes,"Lakeside Chill Sounds, Vol. 20",track,2020,294221,0,3
Ocean of Secrets - Remastered,Schwarz & Funk,schwarz funk,"Urban City Vibes 6: Urban Funk, Soul & Chillout Music",track,2020,361947,0,3
Hallou - Original Mix,Jens Buchert,jens buchert,"Mykonos Sunset Session, Vol. 6",track,2020,247461,0,3
Missing U (A Tribute to the Sun) - Original Mix,Steen Thottrup,steen thottrup,Ibiza Winter Session 2021 (The Island Chill out Pearls),track,2020,309865,0,3
Be Mine,Marga Sol,marga sol,Electro Lounge Dinner Party,track,2020,304000,0,3
Dusk,Pier-O,pier o,"Tech Freak, Vol. 4 (Hit Me With That Bass Line)",track,2020,370714,0,3
Pai Mu Tan,Sunyata Project,sunyata project,"Supreme Relax, Vol. 6",track,2020,306189,0,3
The Water Is Wide,Shannon & Keast,shannon keast,Happy Acoustic Folk,track,2020,252147,0,3
Elements - Size Mix,Loungeside,loungeside,Elements (Size Mix),track,2020,354000,0,3
Tao Tunes,Sami Sivananda,sami sivananda,"Royally Relaxing, Vol. 7",track,2020,371909,0,3
What I Long For,Marga Sol,marga sol,"Deep Blue Sea Vol.4, Deep Chill Mood",track,2020,324210,0,3
Bliss of Water,Marga Sol,marga sol,"Let It Snow, Vol. 1 (Enjoy The First Snowflakes With This Wonderful Selection Of Smooth Electronic Music)",track,2020,360000,0,3
Dreamgirl - Original Mix,Jens Buchert,jens buchert,"Fireplace Chill, Vol. 5",track,2020,240600,0,3
Norito Bar - Chandini Mix,Yantra Mantra,yantra mantra,Stay Chilled 2,track,2020,282666,0,3
Like the First Moment - Original Mix,Florzinho,florzinho,"Sensual Mood Lounge, Vol. 18",track,2020,332608,0,3
Down in Jaipur - Original Mix,Mathieu & Florzinho,mathieu florzinho,"Lovely Mood Lounge, Vol. 30",track,2020,317373,0,3
Anis Nous Explique - Original Mix,Weathertunes,weathertunes,"Lovely Mood Lounge, Vol. 27",track,2020,331840,0,3
People Love - Original Mix,Weathertunes,weathertunes,"Sensual Mood Lounge, Vol. 22",track,2020,287416,0,3
Shinrinyoku,James Bright,james bright,Betamax,track,2020,377685,0,3
What We Had - Sunset Mix,Marga Sol,marga sol,"Purple Lounge, Vol. 1",track,2020,299405,0,3
Dream On,Peter Pearson,peter pearson,Chillout Dreams,track,2020,271601,0,3
holy.night,no.notnow,no notnow,christmas with friends,track,2020,136000,0,3
Gotta Go,Zedman,zedman,Imperfect,track,2020,206210,0,3
Aquanaut - Original Mix,Jens Buchert,jens buchert,"Sunset Meditation - Relaxing Chill out Music, Vol. 14",track,2020,279369,0,3
Champs De Lavande - Original Mix,Weathertunes,weathertunes,"Design & Lifestyle Lounge, Vol. 1",track,2020,226470,0,3
Cosmos,James Bright,james bright,The Zooniverse,track,2020,344560,0,3
